name,pct_high_needs,funding_14_15,funding_est_15_16,is_charter
Design Tech High School,21,8378,10092,FALSE
Di Giorgio Elementary,96,9522,11829,FALSE
Diego Hills Charter,85,9554,11737,TRUE
Diego Springs Academy,95,11135,13142,TRUE
Diego Valley Charter,85,9765,12142,TRUE
Dinuba Unified,96,9715,12261,FALSE
Discovery Charter,46,7609,9056,TRUE
Discovery Charter,22,7288,8626,TRUE
Discovery Charter,18,7171,8324,TRUE
Discovery Charter II,16,7720,8692,TRUE
Discovery Charter Preparatory No. 2,95,10422,12912,TRUE
Dixie Canyon Community Charter,27,7308,8862,TRUE
Dixie Elementary,20,7286,8768,FALSE
Dixon Montessori Charter,30,7305,8794,TRUE
Dixon Unified,58,8195,10033,FALSE
Dos Palos Oro Loma Jt. Unified,90,9837,12231,FALSE
Douglas City Elementary,48,7925,9441,FALSE
Downey Unified,72,8800,10894,FALSE
Downtown Charter Academy,85,8800,10401,TRUE
Downtown College Prep - Alum Rock,83,8947,11206,FALSE
Downtown College Preparatory,85,9451,11338,FALSE
Downtown College Preparatory Middle,88,8170,9309,FALSE
Downtown Value,96,8890,10995,FALSE
Dr. Lewis Dolphin Stallworth Sr. Charter,100,9208,11441,TRUE
"Dr. Theo. T. Alexander Jr., Science Center",86,8787,11054,FALSE
Dry Creek Joint Elementary,43,7444,8998,FALSE
Dual Language Academy of the Monterey Peninsula,76,8597,10324,TRUE
Duarte Unified,76,8951,11044,FALSE
Dublin Unified,15,7821,8894,FALSE
Ducor Union Elementary,92,9437,11757,FALSE
Dunham Charter,28,7297,8844,TRUE
Dunsmuir Elementary,94,9717,11631,FALSE
Durham Unified,40,8183,9670,FALSE
E3 Civic High,72,9364,11491,FALSE
Eagle Peak Montessori,12,7067,8508,FALSE
Earlimart Elementary,98,9406,11808,FALSE
East Nicolaus Joint Union High,43,9568,11220,FALSE
East Oakland Leadership Academy,99,8871,10889,TRUE
East Palo Alto Academy,92,9585,11476,TRUE
East Side Union High,54,9377,11156,FALSE
East Whittier City Elementary,56,8243,9387,FALSE
