AcademicYear	AggregateLevel	CountyCode	DistrictCode	SchoolCode	CountyName	DistrictName	SchoolName	Charter	ReportingCategory	CumulativeEnrollment
2022-23	C	09			El Dorado			Yes	SD	1156
2022-23	C	09			El Dorado			Yes	SE	453
2022-23	C	09			El Dorado			Yes	SF	93
2022-23	C	09			El Dorado			Yes	SH	134
2022-23	C	09			El Dorado			Yes	SS	3264
2022-23	C	09			El Dorado			Yes	TA	8986
2022-23	C	10			Fresno			All	GF	104231
2022-23	C	10			Fresno			All	GM	109319
2022-23	C	10			Fresno			All	GX	206
2022-23	C	10			Fresno			All	RA	20640
2022-23	C	10			Fresno			All	RB	10175
2022-23	C	10			Fresno			All	RD	808
2022-23	C	10			Fresno			All	RF	1574
2022-23	C	10			Fresno			All	RH	142017
2022-23	C	10			Fresno			All	RI	1267
2022-23	C	10			Fresno			All	RP	588
2022-23	C	10			Fresno			All	RT	5396
2022-23	C	10			Fresno			All	RW	31291
2022-23	C	10			Fresno			All	SD	26110
2022-23	C	10			Fresno			All	SE	42671
2022-23	C	10			Fresno			All	SF	2292
2022-23	C	10			Fresno			All	SH	3321
2022-23	C	10			Fresno			All	SM	4608
2022-23	C	10			Fresno			All	SS	166039
2022-23	C	10			Fresno			All	TA	213756
2022-23	C	10			Fresno			No 	GF	95331
2022-23	C	10			Fresno			No 	GM	100722
2022-23	C	10			Fresno			No 	GX	167
2022-23	C	10			Fresno			No 	RA	19927
2022-23	C	10			Fresno			No 	RB	9046
2022-23	C	10			Fresno			No 	RD	576
2022-23	C	10			Fresno			No 	RF	1455
2022-23	C	10			Fresno			No 	RH	131332
2022-23	C	10			Fresno			No 	RI	1170
2022-23	C	10			Fresno			No 	RP	558
2022-23	C	10			Fresno			No 	RT	4726
2022-23	C	10			Fresno			No 	RW	27430
2022-23	C	10			Fresno			No 	SD	24173
2022-23	C	10			Fresno			No 	SE	40807
2022-23	C	10			Fresno			No 	SF	2139
2022-23	C	10			Fresno			No 	SH	2810
2022-23	C	10			Fresno			No 	SM	4562
2022-23	C	10			Fresno			No 	SS	153865
2022-23	C	10			Fresno			No 	TA	196220
2022-23	C	10			Fresno			Yes	GF	10559
2022-23	C	10			Fresno			Yes	GM	10217
2022-23	C	10			Fresno			Yes	GX	50
2022-23	C	10			Fresno			Yes	RA	847
2022-23	C	10			Fresno			Yes	RB	1455
2022-23	C	10			Fresno			Yes	RD	245
2022-23	C	10			Fresno			Yes	RF	128
2022-23	C	10			Fresno			Yes	RH	12870
2022-23	C	10			Fresno			Yes	RI	128
2022-23	C	10			Fresno			Yes	RP	37
2022-23	C	10			Fresno			Yes	RT	774
2022-23	C	10			Fresno			Yes	RW	4342
2022-23	C	10			Fresno			Yes	SD	2334
2022-23	C	10			Fresno			Yes	SE	2221
2022-23	C	10			Fresno			Yes	SF	266
2022-23	C	10			Fresno			Yes	SH	674
2022-23	C	10			Fresno			Yes	SM	76
2022-23	C	10			Fresno			Yes	SS	15004
2022-23	C	10			Fresno			Yes	TA	20826
2022-23	C	11			Glenn			All	GF	3259
2022-23	C	11			Glenn			All	GM	3494
2022-23	C	11			Glenn			All	GX	*
2022-23	C	11			Glenn			All	RA	120
2022-23	C	11			Glenn			All	RB	25
2022-23	C	11			Glenn			All	RD	105
2022-23	C	11			Glenn			All	RF	11
2022-23	C	11			Glenn			All	RH	3656
2022-23	C	11			Glenn			All	RI	148
2022-23	C	11			Glenn			All	RP	*
2022-23	C	11			Glenn			All	RT	146
2022-23	C	11			Glenn			All	RW	2544
2022-23	C	11			Glenn			All	SD	982
2022-23	C	11			Glenn			All	SE	1316
2022-23	C	11			Glenn			All	SF	48
2022-23	C	11			Glenn			All	SH	183
2022-23	C	11			Glenn			All	SM	77
2022-23	C	11			Glenn			All	SS	5059
2022-23	C	11			Glenn			All	TA	6763
2022-23	C	11			Glenn			No 	GF	2618
2022-23	C	11			Glenn			No 	GM	2865
2022-23	C	11			Glenn			No 	GX	*
2022-23	C	11			Glenn			No 	RA	111
2022-23	C	11			Glenn			No 	RB	19
2022-23	C	11			Glenn			No 	RD	56
2022-23	C	11			Glenn			No 	RF	*
2022-23	C	11			Glenn			No 	RH	3295
2022-23	C	11			Glenn			No 	RI	130
2022-23	C	11			Glenn			No 	RP	*
2022-23	C	11			Glenn			No 	RT	76
2022-23	C	11			Glenn			No 	RW	1789
2022-23	C	11			Glenn			No 	SD	831
2022-23	C	11			Glenn			No 	SE	1258
2022-23	C	11			Glenn			No 	SF	40
2022-23	C	11			Glenn			No 	SH	163
2022-23	C	11			Glenn			No 	SM	77
2022-23	C	11			Glenn			No 	SS	4286
2022-23	C	11			Glenn			No 	TA	5489
2022-23	C	11			Glenn			Yes	GF	675
2022-23	C	11			Glenn			Yes	GM	664
2022-23	C	11			Glenn			Yes	GX	*
2022-23	C	11			Glenn			Yes	RA	*
2022-23	C	11			Glenn			Yes	RB	*
2022-23	C	11			Glenn			Yes	RD	49
2022-23	C	11			Glenn			Yes	RF	*
2022-23	C	11			Glenn			Yes	RH	391
2022-23	C	11			Glenn			Yes	RI	20
2022-23	C	11			Glenn			Yes	RP	*
2022-23	C	11			Glenn			Yes	RT	74
2022-23	C	11			Glenn			Yes	RW	786
2022-23	C	11			Glenn			Yes	SD	161
2022-23	C	11			Glenn			Yes	SE	64
2022-23	C	11			Glenn			Yes	SF	*
2022-23	C	11			Glenn			Yes	SH	23
2022-23	C	11			Glenn			Yes	SM	*
2022-23	C	11			Glenn			Yes	SS	832
2022-23	C	11			Glenn			Yes	TA	1343
2022-23	C	12			Humboldt			All	GF	8774
2022-23	C	12			Humboldt			All	GM	9241
2022-23	C	12			Humboldt			All	GX	66
2022-23	C	12			Humboldt			All	RA	560
2022-23	C	12			Humboldt			All	RB	190
2022-23	C	12			Humboldt			All	RD	220
2022-23	C	12			Humboldt			All	RF	40
2022-23	C	12			Humboldt			All	RH	3746
2022-23	C	12			Humboldt			All	RI	1635
2022-23	C	12			Humboldt			All	RP	87
2022-23	C	12			Humboldt			All	RT	1790
2022-23	C	12			Humboldt			All	RW	9813
2022-23	C	12			Humboldt			All	SD	3449
2022-23	C	12			Humboldt			All	SE	1366
2022-23	C	12			Humboldt			All	SF	362
2022-23	C	12			Humboldt			All	SH	1259
2022-23	C	12			Humboldt			All	SM	*
